PlotID,YearMeas,AgeMeas,BA,height,stem_count,SI,ba_sd,height_sd,stem_count_sd,SI_sd,FID,Installation,PLOT,PlantDensity,Replicate,Culture,Treatment,Thinning
1,1997,18,142.4464812,51.26,540,64.97994075,1,0.797145306,10,1,320,0,40961,960,0,0,0,1
1,1982,15,97.547517,29.50666667,830,43.49922037,1,0.458858776,10,1,320,0,41081,960,0,0,0,1
1,1988,21,116.8623126,38.75757576,720,43.49922037,1,0.602719852,10,1,320,0,41081,960,0,0,0,1
1,1991,24,124.3490184,42.42857143,620,43.49922037,1,0.65980758,10,1,320,0,41081,960,0,0,0,1
1,1994,27,132.0266142,45.81132076,560,43.49922037,1,0.712412784,10,1,320,0,41081,960,0,0,0,1
1,2000,33,137.121741,55.36585366,450,43.49922037,1,0.86099552,10,1,320,0,41081,960,0,0,0,1
1,2003,36,139.7036646,59.5,420,43.49922037,1,0.925285714,10,1,320,0,41081,960,0,0,0,1
1,1982,18,109.303614,35.77142857,770,46.44576044,1,0.556282216,10,1,320,0,41111,960,0,0,0,1
1,1981,16,160.3437822,48.61111111,800,71.25586061,1,0.755952381,10,1,321,0,41021,1160,0,0,0,1
1,1987,22,169.8991902,61.5625,530,71.25586061,1,0.957359694,10,1,321,0,41021,1160,0,0,0,1
1,1990,25,150.4316826,71.85185185,300,71.25586061,1,1.117369614,10,1,321,0,41021,1160,0,0,0,1
1,1993,28,169.5697686,75.96153846,280,71.25586061,1,1.181279435,10,1,321,0,41021,1160,0,0,0,1
1,1981,19,166.4489898,53.63333333,650,65.23665166,1,0.834053061,10,1,321,0,41051,1160,0,0,0,1
1,1982,15,91.1886984,34.01408451,770,48.59745768,1,0.528953722,10,1,322,0,41151,990,0,0,0,1
1,1988,21,103.7519874,44.19230769,560,48.59745768,1,0.687235479,10,1,322,0,41151,990,0,0,0,1
1,1991,24,106.0306686,48.48888889,490,48.59745768,1,0.754051701,10,1,322,0,41151,990,0,0,0,1
1,1994,27,126.6075198,49.97777778,500,48.59745768,1,0.777205442,10,1,322,0,41151,990,0,0,0,1
1,1982,18,103.522374,39.109375,710,50.49049583,1,0.608190689,10,1,322,0,41181,990,0,0,0,1
1,1997,27,83.00874911,53.93103448,301.602262,51.0179528,1,0.838682618,10,1,323,0,60961,0,0,0,0,1
1,1997,27,139.4131844,79.03333333,311.0273327,75.30349782,1,1.22904898,10,1,323,0,60971,0,0,0,0,1
1,1982,24,84.05585542,37.56603774,546.6540999,37.65990172,1,0.58419022,10,1,323,0,61081,0,0,0,0,1
